"abbreviation"	"name"	"compartment"
"(S)-2-aminobutanoate"	"(S)-2-aminobutanoate"	"c"
"5-oxoproline"	"5-oxoproline"	"c"
"gamma-L-glutamyl-L-alpha-aminobutyrate"	"gamma-L-glutamyl-L-alpha-aminobutyrate"	"c"
"gamma-glutamylglutathione"	"gamma-glutamylglutathione"	"c"
"D-aspartate"	"D-aspartate"	"p, e, c"
"D-alanine"	"D-alanine"	"c, e, p, l"
"N-acetyl-L-aspartate"	"N-acetyl-L-aspartate"	"c"
"L-glutamate5-semialdehyde"	"L-glutamate5-semialdehyde"	"m, c"
"ornithine"	"ornithine"	"m, c, e"
"proline"	"proline"	"c, m, l, e"
"glutamyl-5-phosphate"	"glutamyl-5-phosphate"	"m"
"N-(omega)-hydroxyarginine"	"N-(omega)-hydroxyarginine"	"c"
"NO"	"NO"	"c, e"
"SAM"	"SAM"	"c, n, m, r"
"S-adenosylmethioninamine"	"S-adenosylmethioninamine"	"c"
"putrescine"	"putrescine"	"c, e, p"
"5-methylthioadenosine"	"5-methylthioadenosine"	"c"
"spermidine"	"spermidine"	"c, p, e"
"spermine"	"spermine"	"c, p, e"
"4-aminobutanal"	"4-aminobutanal"	"e, m, c"
"SAH"	"SAH"	"c, n, m, r"
"creatine"	"creatine"	"c, m, e"
"guanidinoacetate"	"guanidinoacetate"	"c"
"histidine"	"histidine"	"c, l, e, m"
"homocarnosine"	"homocarnosine"	"c"
"trans-4-hydroxy-L-proline"	"trans-4-hydroxy-L-proline"	"c, m"
"L-1-pyrroline-3-hydroxy-5-carboxylate"	"L-1-pyrroline-3-hydroxy-5-carboxylate"	"c, m"
"L-erythro-4-hydroxyglutamate"	"L-erythro-4-hydroxyglutamate"	"m"
"4-hydroxy-2-oxoglutarate"	"4-hydroxy-2-oxoglutarate"	"m"
"glyoxalate"	"glyoxalate"	"m, c"
"methylthioribose-1p"	"methylthioribose-1p"	"c"
"N1-acetylspermine"	"N1-acetylspermine"	"c, p"
"sperminemonoaldehyde"	"sperminemonoaldehyde"	"c, e, p"
